"Deal","Product name","Current prices","old prices","Discount 3","Rating","ic href 2","add","_ni src"
"Tech week deal","VILLAON V101 1.77"" Kabambe, Wireless FM, Camera, Bright Touch, Facebook, 1000mAh (Dual Sim)  (1YR WRTY)","KSh 675","KSh 852","21%","3.9 out of 5","[object Object]","Add to cart",""
"Tech week deal","RichRipple M10 LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods","KSh 413","KSh 861","52%","3.6 out of 5","[object Object]","Add to cart",""
"Tech week deal","RichRipple Sports Bluetooth  Into The Ear Neck Hanging Type Running Stereo Large Capacity Wireless Earphone","KSh 319","KSh 599","47%","3.8 out of 5","[object Object]","Add to cart",""
"Tech week deal","Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual Sim) 5000mAh, White","KSh 9,297","KSh 13,999","34%","4 out of 5","[object Object]","Add to cart",""
"Tech week deal","Oraimo OPB-1100D Toast 15 Flash 10000mAh Fast Charging Power Bank, Black","KSh 1,000","KSh 1,800","44%","4.3 out of 5","[object Object]","Add to cart",""
"Tech week deal","RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones","KSh 439","KSh 754","42%","3.8 out of 5","[object Object]","Add to cart",""
"Tech week deal","XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black (2YRs WRTY)","KSh 11,799","KSh 14,696","20%","4.3 out of 5","[object Object]","Add to cart",""
"Tech week deal","Samsung A05, 6.7"", 4GB RAM + 64GB, 5000mAh, Black  (1YR WRTY)","KSh 10,199","KSh 12,516","19%","4.3 out of 5","[object Object]","Add to cart",""
"Tech week deal","Poco C75, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Black (2YRs WRTY)","KSh 12,999","KSh 16,819","23%","4.3 out of 5","[object Object]","Add to cart",""
"Tech week deal","Itel A70, 6.6"", 3GB RAM + 128GB, 4G, (Dual SIM) 5000mAh - Starlish black (1YR WRTY)","KSh 8,599","KSh 11,354","24%","4.2 out of 5","[object Object]","Add to cart",""
"Tech week deal","Itel A70, 6.6"", 3GB RAM + 128GB, 4G, (Dual SIM) 5000mAh - Azure blue","KSh 8,599","KSh 15,650","45%","4.7 out of 5","[object Object]","Add to cart",""
"Tech week deal","Infinix Hot 40 Pro, 6.78"", 256GB + 8GB, 5000 mAh, 4G, Dual SIM - Palm Blue","KSh 16,399","KSh 20,387","20%","3.9 out of 5","[object Object]","Add to cart",""
"Tech week deal","Oraimo PowerHub C 6-In-1 Smart  High Security Small","KSh 1,699","KSh 3,700","54%","4.1 out of 5","[object Object]","Add to cart",""
"Tech week deal","Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 10,899","KSh 21,196","49%","4.1 out of 5","[object Object]","Add to cart",""
"Tech week deal","Itel A50, 6.6'', 64GB + 2GB RAM (Dual SIM), 4G, 5000mAh, Black","KSh 8,199","KSh 9,000","9%","","[object Object]","Add to cart",""
"","Itel A80, 6.7"", 3GB RAM + 128GB (Dual SIM), 5000mAh, Black (1 YR WRTY)","KSh 9,899","KSh 11,200","12%","","[object Object]","Add to cart","https://ke.jumia.is/badges/wrnty_2/1/138x18.png?0789"
"Tech week deal","XIAOMI Redmi Pad SE 8.7"", 4GB RAM + 128 GB, 8000mAh, (2YRs WRTY), with GIFT REDMI BUDS 6 ACTIVE - Gray","KSh 15,444","KSh 18,742","18%","4.3 out of 5","[object Object]","Add to cart",""
